id,uid,name,parent,href,hierarchy,subcategories
MCO116389,,Almohadas,MCO441249,https://listado.mercadolibre.com.co/colchones-sommiers-almohadas/#CATEGORY_ID=MCO116389&S=hc_hogar-y-muebles,3,0
MCO454689,,Base Cama y Colchón Masajeador,MCO441249,https://listado.mercadolibre.com.co/camas-colchones-accesorios-base-cama-colchon-masajeador/#CATEGORY_ID=MCO454689&S=hc_hogar-y-muebles,3,0
MCO432802,,Base Camas,MCO441249,https://listado.mercadolibre.com.co/colchones-sommiers-base-camas/#CATEGORY_ID=MCO432802&S=hc_hogar-y-muebles,3,0
MCO455215,,Cabeceros,MCO441249,https://listado.mercadolibre.com.co/camas-colchones-accesorios-cabeceros/#CATEGORY_ID=MCO455215&S=hc_hogar-y-muebles,3,0
MCO455214,,Camas,MCO441249,https://listado.mercadolibre.com.co/colchones-sommiers-camas/#CATEGORY_ID=MCO455214&S=hc_hogar-y-muebles,3,0
MCO1612,,Colchones,MCO441249,https://listado.mercadolibre.com.co/hogar-muebles/alcoba/colchones/#CATEGORY_ID=MCO1612&S=hc_hogar-y-muebles,3,0
MCO441359,,Juegos de Sommier y Colchón,MCO441249,https://listado.mercadolibre.com.co/colchones-sommiers-juegos-sommier-colchon/#CATEGORY_ID=MCO441359&S=hc_hogar-y-muebles,3,0
MCO436258,,Ropa de Cama,MCO441249,https://listado.mercadolibre.com.co/colchones-sommiers-ropa-cama/#CATEGORY_ID=MCO436258&S=hc_hogar-y-muebles,3,0
MCO441360,,Otros,MCO441249,https://listado.mercadolibre.com.co/colchones-sommiers-otros/#CATEGORY_ID=MCO441360&S=hc_hogar-y-muebles,3,0
MCO1592,,Cocina,MCO1574,https://listado.mercadolibre.com.co/hogar-muebles/cocina/#CATEGORY_ID=MCO1592&S=hc_hogar-y-muebles,2,13
MCO436298,,Almacenamiento y Organización,MCO1592,https://listado.mercadolibre.com.co/cocina-almacenamiento-organizacion/#CATEGORY_ID=MCO436298&S=hc_hogar-y-muebles,3,0
MCO436300,,Artículos de Vino y Coctelería,MCO1592,https://listado.mercadolibre.com.co/cocina-articulos-vino-cocteleria/#CATEGORY_ID=MCO436300&S=hc_hogar-y-muebles,3,0
MCO384709,,Contrabajos,MCO442089,https://listado.mercadolibre.com.co/instrumentos-cuerdas-contrabajos/#CATEGORY_ID=MCO384709&S=hc_instrumentos-musicales,3,0
MCO2987,,Guitarras,MCO442089,https://listado.mercadolibre.com.co/instrumentos-cuerdas-guitarras/#CATEGORY_ID=MCO2987&S=hc_instrumentos-musicales,3,0
MCO442130,,Mandolinas,MCO442089,https://listado.mercadolibre.com.co/instrumentos-cuerdas-mandolinas/#CATEGORY_ID=MCO442130&S=hc_instrumentos-musicales,3,0
MCO442129,,Otros,MCO442089,https://listado.mercadolibre.com.co/instrumentos-cuerdas-otros/#CATEGORY_ID=MCO442129&S=hc_instrumentos-musicales,3,0
MCO180028,,Ukeleles,MCO442089,https://listado.mercadolibre.com.co/instrumentos-cuerdas-ukeleles/#CATEGORY_ID=MCO180028&S=hc_instrumentos-musicales,3,0
