id,uid,parent,name,href,index,hierarchy,subcategories
MCO1082,,MCO1081,Gatos,https://listado.mercadolibre.com.co/animales-mascotas/gatos/gatos/#CATEGORY_ID=MCO1082&S=hc_animales-y-mascotas,5,3,0
MCO116340,,MCO1081,Juguetes,https://listado.mercadolibre.com.co/gatos-juguetes/#CATEGORY_ID=MCO116340&S=hc_animales-y-mascotas,6,3,0
MCO434781,,MCO1081,Puertas y Rampas,https://listado.mercadolibre.com.co/gatos-puertas-rampas/#CATEGORY_ID=MCO434781&S=hc_animales-y-mascotas,7,3,0
MCO434784,,MCO1081,Viaje y Paseo,https://listado.mercadolibre.com.co/gatos-viaje-paseo/#CATEGORY_ID=MCO434784&S=hc_animales-y-mascotas,8,3,0
MCO1090,,MCO1081,Otros,https://listado.mercadolibre.com.co/animales-mascotas/gatos/otros/#CATEGORY_ID=MCO1090&S=hc_animales-y-mascotas,9,3,0
MCO429311,,MCO1071,Insectos,https://listado.mercadolibre.com.co/insectos/#CATEGORY_ID=MCO429311&S=hc_animales-y-mascotas,4,2,4
MCO429328,,MCO429311,Cucarachas,https://listado.mercadolibre.com.co/insectos-cucarachas/#CATEGORY_ID=MCO429328&S=hc_animales-y-mascotas,0,3,0
MCO429314,,MCO429311,Escarabajos,https://listado.mercadolibre.com.co/insectos-escarabajos/#CATEGORY_ID=MCO429314&S=hc_animales-y-mascotas,1,3,0
MCO429313,,MCO429311,Grillos,https://listado.mercadolibre.com.co/insectos-grillos/#CATEGORY_ID=MCO429313&S=hc_animales-y-mascotas,2,3,0
MCO429312,,MCO429311,Otros,https://listado.mercadolibre.com.co/insectos-otros/#CATEGORY_ID=MCO429312&S=hc_animales-y-mascotas,3,3,0
MCO1091,,MCO1071,Peces,https://listado.mercadolibre.com.co/animales-mascotas/peces/#CATEGORY_ID=MCO1091&S=hc_animales-y-mascotas,5,2,4
MCO1092,,MCO1091,Acuarios y Accesorios,https://listado.mercadolibre.com.co/peces-acuarios-accesorios/#CATEGORY_ID=MCO1092&S=hc_animales-y-mascotas,0,3,0
MCO1094,,MCO1091,Alimentos,https://listado.mercadolibre.com.co/animales-mascotas/peces/alimentos/#CATEGORY_ID=MCO1094&S=hc_animales-y-mascotas,1,3,0
MCO1096,,MCO1091,Peces,https://listado.mercadolibre.com.co/animales-mascotas/peces/peces/#CATEGORY_ID=MCO1096&S=hc_animales-y-mascotas,2,3,0
MCO1099,,MCO1091,Otros,https://listado.mercadolibre.com.co/animales-mascotas/peces/otros/#CATEGORY_ID=MCO1099&S=hc_animales-y-mascotas,3,3,0
MCO1072,,MCO1071,Perros,https://listado.mercadolibre.com.co/animales-mascotas/perros/#CATEGORY_ID=MCO1072&S=hc_animales-y-mascotas,6,2,14
MCO32646,,MCO1072,Adiestramiento,https://listado.mercadolibre.com.co/perros-adiestramiento/#CATEGORY_ID=MCO32646&S=hc_animales-y-mascotas,0,3,0
MCO434760,,MCO1072,"Alimento, Premios y Suplemento",https://listado.mercadolibre.com.co/perros-alimento-premios-suplemento/#CATEGORY_ID=MCO434760&S=hc_animales-y-mascotas,1,3,0
MCO436919,,MCO1072,Camas y Casas,https://listado.mercadolibre.com.co/perros-camas-casas/#CATEGORY_ID=MCO436919&S=hc_animales-y-mascotas,2,3,0
MCO155543,,MCO1072,Comederos y Bebederos,https://listado.mercadolibre.com.co/perros-comederos-bebederos/#CATEGORY_ID=MCO155543&S=hc_animales-y-mascotas,3,3,0
MCO155516,,MCO1072,Estética y Cuidado,https://listado.mercadolibre.com.co/animales-mascotas/perros/estetica-cuidado/#CATEGORY_ID=MCO155516&S=hc_animales-y-mascotas,4,3,0
MCO155513,,MCO1072,Juguetes para Perros,https://listado.mercadolibre.com.co/animales-mascotas/perros/juguetes/#CATEGORY_ID=MCO155513&S=hc_animales-y-mascotas,5,3,0
MCO417323,,MCO1072,Perros de Cruza,https://listado.mercadolibre.com.co/perros-cruza/#CATEGORY_ID=MCO417323&S=hc_animales-y-mascotas,6,3,0
MCO1073,,MCO1072,Perros de Raza,https://listado.mercadolibre.com.co/animales-mascotas/perros/perros-raza/#CATEGORY_ID=MCO1073&S=hc_animales-y-mascotas,7,3,0
MCO155515,,MCO1072,Perros en Adopción,https://listado.mercadolibre.com.co/animales-mascotas/perros/adopcion/#CATEGORY_ID=MCO155515&S=hc_animales-y-mascotas,8,3,0
MCO434762,,MCO1072,"Puertas, Rampas y Corrales",https://listado.mercadolibre.com.co/perros-puertas-rampas-corrales/#CATEGORY_ID=MCO434762&S=hc_animales-y-mascotas,9,3,0
MCO5329,,MCO1072,Ropa para Perros,https://listado.mercadolibre.com.co/animales-mascotas/perros/ropa/#CATEGORY_ID=MCO5329&S=hc_animales-y-mascotas,10,3,0
MCO429133,,MCO1072,Sillas de Ruedas,https://listado.mercadolibre.com.co/perros-sillas-ruedas/#CATEGORY_ID=MCO429133&S=hc_animales-y-mascotas,11,3,0
MCO434764,,MCO1072,Viaje y Paseo,https://listado.mercadolibre.com.co/perros-viaje-paseo/#CATEGORY_ID=MCO434764&S=hc_animales-y-mascotas,12,3,0
MCO1080,,MCO1072,Otros,https://listado.mercadolibre.com.co/animales-mascotas/perros/otros/#CATEGORY_ID=MCO1080&S=hc_animales-y-mascotas,13,3,0
MCO270897,,MCO1071,Reptiles y Anfibios,https://listado.mercadolibre.com.co/reptiles-anfibios/#CATEGORY_ID=MCO270897&S=hc_animales-y-mascotas,7,2,3
MCO406033,,MCO270897,Alimentos,https://listado.mercadolibre.com.co/reptiles-anfibios-alimentos/#CATEGORY_ID=MCO406033&S=hc_animales-y-mascotas,0,3,0
MCO406031,,MCO270897,Otros,https://listado.mercadolibre.com.co/reptiles-anfibios-otros/#CATEGORY_ID=MCO406031&S=hc_animales-y-mascotas,1,3,0
MCO434852,,MCO270897,Terrarios y Tortugueros,https://listado.mercadolibre.com.co/reptiles-anfibios-terrarios-tortugueros/#CATEGORY_ID=MCO434852&S=hc_animales-y-mascotas,2,3,0
MCO1105,,MCO1071,Roedores,https://listado.mercadolibre.com.co/animales-mascotas/roedores/#CATEGORY_ID=MCO1105&S=hc_animales-y-mascotas,8,2,9
MCO434848,,MCO1105,Alimentos y Vitaminas,https://listado.mercadolibre.com.co/roedores-alimentos-vitaminas/#CATEGORY_ID=MCO434848&S=hc_animales-y-mascotas,0,3,0
MCO412658,,MCO1105,Bebederos y Comederos,https://listado.mercadolibre.com.co/roedores-bebederos-comederos/#CATEGORY_ID=MCO412658&S=hc_animales-y-mascotas,1,3,0
MCO431945,,MCO1105,Casas,https://listado.mercadolibre.com.co/roedores-casas/#CATEGORY_ID=MCO431945&S=hc_animales-y-mascotas,2,3,0
MCO412735,,MCO1105,Jaulas,https://listado.mercadolibre.com.co/roedores-jaulas/#CATEGORY_ID=MCO412735&S=hc_animales-y-mascotas,3,3,0
MCO419397,,MCO1105,Juguetes,https://listado.mercadolibre.com.co/roedores-juguetes/#CATEGORY_ID=MCO419397&S=hc_animales-y-mascotas,4,3,0
MCO116345,,MCO1105,Roedores,https://listado.mercadolibre.com.co/animales-mascotas/roedores/roedores/#CATEGORY_ID=MCO116345&S=hc_animales-y-mascotas,5,3,0
MCO437349,,MCO1105,Shampoos,https://listado.mercadolibre.com.co/roedores-shampoos/#CATEGORY_ID=MCO437349&S=hc_animales-y-mascotas,6,3,0
MCO412640,,MCO1105,Sustratos,https://listado.mercadolibre.com.co/roedores-sustratos/#CATEGORY_ID=MCO412640&S=hc_animales-y-mascotas,7,3,0
MCO116346,,MCO1105,Otros,https://listado.mercadolibre.com.co/animales-mascotas/roedores/otros/#CATEGORY_ID=MCO116346&S=hc_animales-y-mascotas,8,3,0
MCO6152,,MCO1071,Otros,https://listado.mercadolibre.com.co/animales-mascotas/otros/#CATEGORY_ID=MCO6152&S=hc_animales-y-mascotas,9,2,0
MCO41010,,MCO1403,Bebidas,https://listado.mercadolibre.com.co/otras-categorias/alimentos-bebidas/bebidas/#CATEGORY_ID=MCO41010&S=hc_alimentos-y-bebidas,0,2,11
MCO194289,,MCO41010,Aguas,https://listado.mercadolibre.com.co/bebidas-aguas/#CATEGORY_ID=MCO194289&S=hc_alimentos-y-bebidas,0,3,0
MCO417030,,MCO41010,Bebidas Alcohólicas Preparadas,https://listado.mercadolibre.com.co/bebidas-alcoholicas-preparadas/#CATEGORY_ID=MCO417030&S=hc_alimentos-y-bebidas,1,3,0
MCO403668,,MCO41010,Bebidas Aperitivos,https://listado.mercadolibre.com.co/bebidas-aperitivos/#CATEGORY_ID=MCO403668&S=hc_alimentos-y-bebidas,2,3,0
MCO442297,,MCO41010,Bebidas Blancas y Licores,https://listado.mercadolibre.com.co/bebidas-blancas-licores/#CATEGORY_ID=MCO442297&S=hc_alimentos-y-bebidas,3,3,0
MCO442309,,MCO41010,Bebidas Energizantes,https://listado.mercadolibre.com.co/bebidas-energizantes/#CATEGORY_ID=MCO442309&S=hc_alimentos-y-bebidas,4,3,0
MCO416869,,MCO41010,Bebidas Isotónicas,https://listado.mercadolibre.com.co/bebidas-isotonicas/#CATEGORY_ID=MCO416869&S=hc_alimentos-y-bebidas,5,3,0
MCO442346,,MCO441917,Animales,https://listado.mercadolibre.com.co/agro-animales/#CATEGORY_ID=MCO442346&S=hc_agro,0,2,4
MCO403656,,MCO41010,Cervezas,https://listado.mercadolibre.com.co/bebidas-cervezas/#CATEGORY_ID=MCO403656&S=hc_alimentos-y-bebidas,6,3,0
MCO194298,,MCO41010,Jugos,https://listado.mercadolibre.com.co/bebidas-jugos/#CATEGORY_ID=MCO194298&S=hc_alimentos-y-bebidas,7,3,0
MCO403667,,MCO41010,Otras,https://listado.mercadolibre.com.co/bebidas-otras/#CATEGORY_ID=MCO403667&S=hc_alimentos-y-bebidas,8,3,0
MCO403659,,MCO41010,Refrescos,https://listado.mercadolibre.com.co/bebidas-refrescos/#CATEGORY_ID=MCO403659&S=hc_alimentos-y-bebidas,9,3,0
MCO194523,,MCO41010,Vinos y Espumantes,https://listado.mercadolibre.com.co/bebidas-vinos-espumantes/#CATEGORY_ID=MCO194523&S=hc_alimentos-y-bebidas,10,3,0
MCO441115,,MCO1403,Comestibles,https://listado.mercadolibre.com.co/comestibles/#CATEGORY_ID=MCO441115&S=hc_alimentos-y-bebidas,1,2,22
MCO449878,,MCO442346,Caballos y Yeguas,https://listado.mercadolibre.com.co/animales-caballos-yeguas/#CATEGORY_ID=MCO449878&S=hc_agro,0,3,0
MCO449879,,MCO442346,Gallos y Gallinas,https://listado.mercadolibre.com.co/animales-gallos-gallinas/#CATEGORY_ID=MCO449879&S=hc_agro,1,3,0
MCO442433,,MCO442346,Toros,https://listado.mercadolibre.com.co/agro-animales-toros/#CATEGORY_ID=MCO442433&S=hc_agro,2,3,0
MCO442432,,MCO442346,Otros,https://listado.mercadolibre.com.co/agro-animales-otros/#CATEGORY_ID=MCO442432&S=hc_agro,3,3,0
MCO442344,,MCO441917,Generadores de Energía,https://listado.mercadolibre.com.co/agro-generadores-energia/#CATEGORY_ID=MCO442344&S=hc_agro,1,2,4
MCO455338,,MCO442344,Energía Renovable,https://listado.mercadolibre.com.co/generadores-energia-renovable/#CATEGORY_ID=MCO455338&S=hc_agro,0,3,0
MCO194310,,MCO441115,Aceites y Vinagres,https://listado.mercadolibre.com.co/comestibles-aceites-vinagres/#CATEGORY_ID=MCO194310&S=hc_alimentos-y-bebidas,0,3,0
MCO433480,,MCO441115,Algas Nori,https://listado.mercadolibre.com.co/comestibles-algas-nori/#CATEGORY_ID=MCO433480&S=hc_alimentos-y-bebidas,1,3,0
MCO194316,,MCO441115,Alimentos Instantáneos,https://listado.mercadolibre.com.co/comestibles-alimentos-instantaneos/#CATEGORY_ID=MCO194316&S=hc_alimentos-y-bebidas,2,3,0
MCO429235,,MCO441115,Anchetas,https://listado.mercadolibre.com.co/comestibles-anchetas/#CATEGORY_ID=MCO429235&S=hc_alimentos-y-bebidas,3,3,0
MCO194308,,MCO441115,"Arroz, Legumbres y Semillas",https://listado.mercadolibre.com.co/comestibles-arroz-legumbres-semillas/#CATEGORY_ID=MCO194308&S=hc_alimentos-y-bebidas,4,3,0
MCO194315,,MCO441115,Azúcar y Endulzantes,https://listado.mercadolibre.com.co/comestibles-azucar-endulzantes/#CATEGORY_ID=MCO194315&S=hc_alimentos-y-bebidas,5,3,0
MCO442426,,MCO442344,Molinos de Viento,https://listado.mercadolibre.com.co/agro-generadores-energia-molinos-viento/#CATEGORY_ID=MCO442426&S=hc_agro,1,3,0
MCO442424,,MCO442344,Plantas Eléctricas,https://listado.mercadolibre.com.co/agro-generadores-energia-plantas-electricas/#CATEGORY_ID=MCO442424&S=hc_agro,2,3,0
